type,time,event,Simulation_reset
head,0.4000000000000001,up
contact,0.4200000000000001,no_reward
head,0.6400000000000002,up
contact,0.6800000000000003,no_reward
head,0.8800000000000004,up
contact,0.9200000000000005,no_reward
head,2.2800000000000016,up
contact,2.3800000000000017,reward
head,2.560000000000002,up
contact,2.640000000000002,reward
head,2.800000000000002,up
contact,2.840000000000002,reward
head,3.0600000000000023,up
contact,3.1400000000000023,reward
head,4.499999999999992,up
contact,4.6199999999999894,no_reward
head,4.8999999999999835,up
contact,4.999999999999981,no_reward
head,6.319999999999953,up
contact,6.47999999999995,reward
head,6.579999999999948,up
contact,6.659999999999946,reward
head,6.759999999999944,up
contact,6.779999999999943,reward
head,6.899999999999941,up
contact,6.95999999999994,reward
head,8.299999999999912,up
contact,8.499999999999908,no_reward
head,8.8399999999999,up
contact,8.999999999999897,no_reward
head,10.079999999999874,up
contact,10.319999999999869,no_reward
head,10.579999999999863,up
contact,10.69999999999986,no_reward
head,12.819999999999816,up
contact,13.07999999999981,reward
head,14.119999999999788,up
contact,14.379999999999782,reward
head,14.539999999999779,up
contact,14.719999999999775,reward
head,14.93999999999977,up
contact,15.119999999999767,reward
head,16.099999999999746,up
contact,16.41999999999974,no_reward
head,18.339999999999698,up
contact,18.599999999999692,reward
head,18.63999999999969,up
contact,18.71999999999969,reward
head,18.879999999999686,up
contact,19.039999999999683,reward
head,20.11999999999966,up
contact,20.379999999999654,reward
head,20.419999999999654,up
contact,20.51999999999965,reward
head,20.61999999999965,up
contact,20.65999999999965,reward
head,20.879999999999644,up
contact,21.09999999999964,reward
head,22.619999999999607,up
contact,22.9199999999996,no_reward
head,24.77999999999956,up
contact,25.059999999999555,no_reward
head,26.13999999999953,up
contact,26.459999999999525,reward
head,26.879999999999516,up
contact,27.13999999999951,reward
head,27.799999999999496,up
contact,28.07999999999949,reward
head,28.219999999999487,up
contact,28.339999999999485,reward
head,28.399999999999483,up
contact,28.49999999999948,reward
head,28.659999999999478,up
contact,28.839999999999474,reward
head,30.139999999999446,up
contact,30.39999999999944,reward
head,30.43999999999944,up
contact,30.51999999999944,reward
head,30.639999999999436,up
contact,30.759999999999433,reward
head,30.91999999999943,up
contact,31.039999999999427,reward
head,34.439999999999785,up
contact,34.65999999999982,no_reward
head,36.02000000000003,up
contact,36.300000000000075,reward
head,36.420000000000094,up
contact,36.560000000000116,reward
head,36.90000000000017,up
contact,37.1200000000002,reward
head,38.94000000000049,up
contact,39.240000000000535,no_reward
head,40.18000000000068,up
contact,40.460000000000726,reward
head,40.50000000000073,up
contact,40.580000000000744,reward
head,40.68000000000076,up
contact,40.80000000000078,reward
head,40.960000000000804,up
contact,41.12000000000083,reward
head,42.08000000000098,up
contact,42.42000000000103,reward
head,42.48000000000104,up
contact,42.54000000000105,reward
head,42.72000000000108,up
contact,42.880000000001104,reward
head,43.88000000000126,up
contact,44.160000000001304,reward
head,44.58000000000137,up
contact,44.86000000000141,reward
head,44.92000000000142,up
contact,45.02000000000144,reward
head,45.060000000001445,up
contact,45.10000000000145,reward
head,50.58000000000231,up
contact,50.80000000000234,reward
head,51.00000000000237,up
contact,51.200000000002404,reward
head,52.100000000002545,up
contact,52.360000000002586,no_reward
head,54.3600000000029,up
contact,54.58000000000293,reward
head,54.62000000000294,up
contact,54.720000000002955,reward
head,54.86000000000298,up
contact,55.000000000003,reward
head,56.200000000003186,up
contact,56.48000000000323,no_reward
head,59.22000000000366,up
contact,59.4800000000037,no_reward
head,60.66000000000388,up
contact,60.94000000000393,no_reward
head,62.140000000004115,up
contact,62.400000000004155,reward
head,62.44000000000416,up
contact,62.54000000000418,reward
head,62.660000000004196,up
contact,62.780000000004215,reward
head,63.740000000004365,up
contact,64.0400000000044,no_reward
head,68.0800000000036,up
contact,68.34000000000354,reward
head,68.40000000000353,up
contact,68.42000000000353,reward
head,68.46000000000352,up
contact,68.60000000000349,reward
head,68.66000000000348,up
contact,68.74000000000346,reward
head,70.32000000000315,up
contact,70.5600000000031,reward
head,70.60000000000309,up
contact,70.70000000000307,reward
head,70.80000000000305,up
contact,70.92000000000303,reward
head,72.22000000000277,up
contact,72.52000000000271,reward
head,72.68000000000268,up
contact,72.86000000000264,reward
head,76.34000000000195,up
contact,76.5600000000019,reward
head,76.86000000000185,up
contact,77.0600000000018,reward
head,77.1000000000018,up
contact,77.16000000000179,reward
head,78.36000000000155,up
contact,78.66000000000149,no_reward
head,80.36000000000115,up
contact,80.6400000000011,reward
head,80.86000000000105,up
contact,81.04000000000102,reward
head,86.23999999999998,up
contact,86.47999999999993,reward
head,86.51999999999992,up
contact,86.6199999999999,reward
head,86.71999999999989,up
contact,86.83999999999986,reward
head,87.01999999999983,up
contact,87.1799999999998,reward
head,88.37999999999955,up
contact,88.6399999999995,reward
head,91.11999999999901,up
contact,91.39999999999895,no_reward
head,92.45999999999874,up
contact,92.71999999999869,no_reward
head,96.43999999999795,up
contact,96.73999999999789,reward
head,97.87999999999766,up
contact,98.11999999999762,reward
head,98.47999999999755,up
contact,98.63999999999751,reward
head,98.6799999999975,up
contact,98.93999999999745,reward
head,98.97999999999745,up
contact,98.99999999999744,reward
head,100.29999999999718,up
contact,100.55999999999713,reward
head,100.61999999999712,up
contact,100.7399999999971,reward
head,100.79999999999708,up
contact,100.87999999999707,reward
head,100.93999999999706,up
contact,101.01999999999704,reward
head,101.05999999999703,up
contact,101.13999999999702,reward
head,104.41999999999636,up
contact,104.67999999999631,no_reward
head,108.21999999999561,up
contact,108.47999999999556,reward
head,108.51999999999555,up
